timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1723593604.1303,BTCUSDT,Sell,0.027,60573.00,ZeroPlusTick,f33852d4-d900-5171-b682-819e26a87f7c,1.635471e+11,0.027,1635.471
1723593604.6422,BTCUSDT,Buy,0.002,60573.10,PlusTick,20e01e2c-75e6-57e3-bceb-91e798426ba4,1.211462e+10,0.002,121.1462
1723593604.7376,BTCUSDT,Buy,0.006,60573.10,ZeroPlusTick,331eff03-2b5d-54ec-af97-ecf1ca201757,3.634386e+10,0.006,363.4386
1723593604.9326,BTCUSDT,Buy,0.002,60573.10,ZeroPlusTick,7884e4ab-8876-5d8a-9142-2ff10be1acb0,1.211462e+10,0.002,121.1462
1723593605.1509,BTCUSDT,Buy,0.001,60573.10,ZeroPlusTick,e297b219-bbce-59b2-82c8-e33f0a8ad9e0,6.05731e+09,0.001,60.5731
1723593605.179,BTCUSDT,Buy,0.009,60573.10,ZeroPlusTick,cc013c56-b595-5b81-b5a6-8f0896ad0488,5.451578999999999e+10,0.009,545.1578999999999
1723593605.179,BTCUSDT,Buy,0.088,60573.10,ZeroPlusTick,5cb28c33-526b-5770-9f7a-71446ada28d5,5.3304327999999994e+11,0.088,5330.4328
1723593605.2407,BTCUSDT,Buy,0.006,60573.10,ZeroPlusTick,ea868b1b-304e-580f-9fa6-f6ef4edb7e8a,3.634386e+10,0.006,363.4386
1723593605.2821,BTCUSDT,Buy,0.01,60573.10,ZeroPlusTick,49f4fead-5c12-5597-9690-73dfcf8c782c,6.05731e+10,0.01,605.731
1723593605.3483,BTCUSDT,Buy,0.001,60573.10,ZeroPlusTick,20b0657d-ec89-58bb-989f-b74cde9f005d,6.05731e+09,0.001,60.5731
1723593605.4534,BTCUSDT,Buy,0.001,60573.10,ZeroPlusTick,df7ee603-a46e-55a4-b5d9-bc1a87d13f0b,6.05731e+09,0.001,60.5731
1723593605.6835,BTCUSDT,Buy,0.001,60573.10,ZeroPlusTick,7fe88fff-27f9-5193-ba91-3e3f58ced2e3,6.05731e+09,0.001,60.5731
1723593605.6952,BTCUSDT,Buy,0.001,60573.10,ZeroPlusTick,de7919af-790b-5566-a247-b82ff1331289,6.05731e+09,0.001,60.5731
1723593605.8001,BTCUSDT,Buy,0.002,60573.10,ZeroPlusTick,2468fd05-25f1-50eb-9d6e-d99774cf41bb,1.211462e+10,0.002,121.1462
1723593606.0171,BTCUSDT,Buy,0.065,60573.10,ZeroPlusTick,c52657d2-dab9-57a2-9e7e-834519aa39dd,3.9372515e+11,0.065,3937.2515
1723593606.2229,BTCUSDT,Sell,0.063,60573.00,MinusTick,35334b4c-f9f8-5d70-bf5b-935e96a53b79,3.816099e+11,0.063,3816.099
1723593606.2237,BTCUSDT,Sell,0.007,60573.00,ZeroMinusTick,0145c01e-3905-56cb-803b-73af7df8e285,4.24011e+10,0.007,424.011
1723593606.2237,BTCUSDT,Sell,0.066,60573.00,ZeroMinusTick,ff009fcd-7547-570f-958b-1e1547800a0c,3.997818e+11,0.066,3997.818
1723593606.2237,BTCUSDT,Sell,0.01,60573.00,ZeroMinusTick,66a1ad42-4690-57ce-a07a-060797e85d72,6.0573e+10,0.01,605.73
1723593606.2237,BTCUSDT,Sell,0.001,60573.00,ZeroMinusTick,32ab430c-a8fa-5a77-a23f-b8de95d62b96,6.0573e+09,0.001,60.573
1723593606.2237,BTCUSDT,Sell,0.175,60573.00,ZeroMinusTick,f854b43c-2d4c-58c1-901c-55f0d297e5f6,1.0600275e+12,0.175,10600.275
1723593606.2242,BTCUSDT,Sell,0.118,60573.00,ZeroMinusTick,af6eddd5-5f6d-54f7-8335-57c349d161f1,7.147614e+11,0.118,7147.614
1723593606.2258,BTCUSDT,Sell,0.002,60573.00,ZeroMinusTick,2598723e-1715-5c22-acab-6c8df71de51d,1.21146e+10,0.002,121.146
1723593606.2267,BTCUSDT,Sell,0.337,60573.00,ZeroMinusTick,30b70e9e-e65c-50ae-8126-5976dcb2a1be,2.0413101000000002e+12,0.337,20413.101000000002
1723593606.2269,BTCUSDT,Sell,0.432,60573.00,ZeroMinusTick,50ebd8cf-f112-5422-9a04-eb3337ad7d2b,2.6167536e+12,0.432,26167.536
1723593606.2271,BTCUSDT,Sell,0.008,60573.00,ZeroMinusTick,773552ad-212f-5f3e-b876-cb1f9407049d,4.84584e+10,0.008,484.584
1723593606.2271,BTCUSDT,Sell,0.014,60573.00,ZeroMinusTick,0cb86a4f-d572-57f0-ae06-7fed034a84cd,8.48022e+10,0.014,848.022
1723593606.2272,BTCUSDT,Sell,0.002,60573.00,ZeroMinusTick,2fd4d9e6-82aa-5e8b-991f-5df3c6c29a74,1.21146e+10,0.002,121.146
1723593606.2276,BTCUSDT,Sell,0.002,60573.00,ZeroMinusTick,961ced0e-b7ee-535e-ad7c-82c45d40d570,1.21146e+10,0.002,121.146
1723593606.2278,BTCUSDT,Sell,0.003,60573.00,ZeroMinusTick,fe913f6c-338d-5bbc-878c-359105e7b96f,1.81719e+10,0.003,181.719
1723593606.2278,BTCUSDT,Sell,0.003,60573.00,ZeroMinusTick,d112f92b-9a8f-5934-8fbe-48ca7e99b5f6,1.81719e+10,0.003,181.719
1723593606.2279,BTCUSDT,Sell,0.136,60573.00,ZeroMinusTick,4624a998-fe1c-5e68-875d-c3fe2a2ace89,8.237928e+11,0.136,8237.928
1723593606.2279,BTCUSDT,Sell,0.02,60573.00,ZeroMinusTick,baab9dc9-2e92-5130-a04b-68f7e8c710de,1.21146e+11,0.02,1211.46
1723593606.3121,BTCUSDT,Sell,0.002,60565.10,MinusTick,9fa282cd-46cd-5ae5-b05a-7d2b4fddf8ef,1.211302e+10,0.002,121.1302
1723593606.4345,BTCUSDT,Sell,0.015,60565.10,ZeroMinusTick,d519091b-bcad-51ac-96ce-42dad7afde72,9.084765e+10,0.015,908.4765
1723593606.4345,BTCUSDT,Sell,0.074,60565.10,ZeroMinusTick,1ee7d4e9-453b-52b3-ad8f-1171a9cdda17,4.4818174e+11,0.074,4481.8174
